web-scraper-order,web-scraper-start-url,text
III. Une seule foi,http://www.vatican.va/archive/FRA0013/__P12.HTM,"174 "" Car, si les langues diffèrent à travers le monde, le contenu de la Tradition est un et identique. Et ni les Églises établies en Germanie n’ont d’autre foi ou d’autre Tradition, ni celles qui sont chez les Ibères, ni celles qui sont chez les Celtes, ni celles de l’Orient, de l’Égypte, de la Libye, ni celles qui sont établies au centre du monde... "" (ibid. 1, 10, 1-2) "" Le message de l’Église est donc véridique et solide, puisque c’est chez elle qu’un seul chemin de salut apparaît à travers le monde entier "" (ibid., 5, 20, 1)."
III. Une seule foi,http://www.vatican.va/archive/FRA0013/__P12.HTM,"175 "" Cette foi que nous avons reçue de l’Église, nous la gardons avec soin, car sans cesse, sous l’action de l’Esprit de Dieu, telle un dépôt de grand prix renfermé dans un vase excellent, elle rajeunit et fait rajeunir le vase même qui la contient "" (ibid., 3, 24, 1)."
III. Une seule foi,http://www.vatican.va/archive/FRA0013/__P12.HTM,III. Une seule foi
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,176 La foi est une adhésion personnelle de l’homme tout entier à Dieu qui se révèle. Elle comporte une adhésion de l’intelligence et de la volonté à la Révélation que Dieu a faite de lui-même par ses actions et ses paroles.
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,"177 "" Croire "" a donc une double référence : à la personne et à la vérité ; à la vérité par confiance en la personne qui l’atteste."
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,"178 Nous ne devons croire en nul autre que Dieu, le Père, le Fils et le Saint-Esprit."
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,"179 La foi est un don surnaturel de Dieu. Pour croire, l’homme a besoin des secours intérieurs du Saint-Esprit."
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,"180 "" Croire "" est un acte humain, conscient et libre, qui correspond à la dignité de la personne humaine."
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,"181 "" Croire "" est un acte ecclésial. La foi de l’Église précède, engendre, porte et nourrit notre foi. L’Église est la mère de tous les croyants. "" Nul ne peut avoir Dieu pour Père qui n’a pas l’Église pour mère "" (S. Cyprien, unit. eccl. : PL 4, 503A)."
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,"182 "" Nous croyons tout ce qui est contenu dans la parole de Dieu, écrite ou transmise, et que l’Église propose à croire comme divinement révélé "" (SPF 20)."
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,"183 La foi est nécessaire au salut. Le Seigneur lui-même l’affirme : "" Celui qui croira et sera baptisé, sera sauvé ; celui qui ne croira pas, sera condamné "" (Mc 16, 16)."
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,"184 "" La foi est un avant-goût de la connaissance qui nous rendra bienheureux dans la vie future "" (S. Thomas d’A., comp. 1, 2)."
EN BREF,http://www.vatican.va/archive/FRA0013/__P13.HTM,EN BREF
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"a été crucifié,   est mort"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"à la   résurrection de la chair,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"à la communion   des saints,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"à la rémission   des péchés,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"à la sainte   Eglise catholique,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"à la vie   éternelle,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"a souffert sous   Ponce Pilate,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Amen.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Amen.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"avec le Père et   le Fils,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"conformément   aux Ecritures,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Créateur du   ciel et de la terre
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Créateur du   ciel et de la terre.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Credo de Nicée-Constantinople (DS 150)
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Crucifié pour   nous sous Ponce Pilate,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,d’où Il viendra   juger les vivants et les morts.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,de l’univers   visible et invisible.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"de même nature   que le Père,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"engendré, non   pas créé,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,est assis à la   droite de Dieu le Père
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,est descendu   aux enfers.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"est monté aux   cieux,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"est né de la   Vierge Marie,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"et a été   enseveli,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Et en   Jésus-Christ, son Fils unique"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,et Il monta au   ciel;
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,et la vie du   monde à venir.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,et par Lui tout   a été fait.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,et S’est fait   homme.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,et son règne   n’aura pas de fin.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,II a parlé par   les prophètes.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"II ressuscita le   troisième jour,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Il a pris chair   de la Vierge Marie,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Il descendit du   ciel ;
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Il est assis à   la droite du Père.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Il est Dieu, né   de Dieu,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Il procède du   Père et du Fils;
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Il reçoit même   adoration et même gloire;
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Il reviendra   dans la gloire,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Il souffrit sa   passion et fut mis au tombeau.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"J’attends la   résurrection des morts,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Je crois en   Dieu,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Je crois en   l’Eglise,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Je crois en   l’Esprit Saint,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Je crois en   l’Esprit Saint,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Je crois en un   seul Dieu,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Je crois en un   seul Seigneur, Jésus-Christ"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Je reconnais un   seul baptême
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Le Credo
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"le Fils unique de   Dieu,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"le Père   Tout-Puissant,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"le Père   Tout-Puissant,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Le troisième   jour est ressuscité des morts,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Lumière, né de   la Lumière,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,né du Père   avant tous les siècles
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"notre Seigneur,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"par l’Esprit   Saint,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,pour juger les   vivants et les morts;
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,pour le pardon   des péchés.
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Pour nous les   hommes, et pour notre salut,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"qui a été conçu   du Saint-Esprit,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,qui est   Seigneur et qui donne la vie;
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,Symbole des Apôtres (DS 30)
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"Tout-Puissant,"
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"une, sainte,   catholique et apostolique."
Le Credo,http://www.vatican.va/archive/FRA0013/__P14.HTM,"vrai Dieu, né   du vrai Dieu,"
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"185 Qui dit "" Je crois "", dit "" J’adhère à ce que nous croyons "". La communion dans la foi a besoin d’un langage commun de la foi, normatif pour tous et unissant dans la même confession de foi."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"186 Dès l’origine, l’Église apostolique a exprimé et transmis sa propre foi en des formules brèves et normatives pour tous (cf. Rm 10, 9 ; 1 Co 15, 3-5 ; etc.). Mais très tôt déjà, l’Église a aussi voulu recueillir l’essentiel de sa foi en des résumés organiques et articulés, destinés surtout aux candidats au Baptême :"
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"187 On appelle ces synthèses de la foi "" professions de foi "" puisqu’elles résument la foi que professent les chrétiens. On les appelle "" Credo "" en raison de ce qui en est normalement la première parole : "" Je crois "". On les appelle également "" Symboles de la foi ""."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"188 Le mot grec symbolon signifiait la moitié d’un objet brisé (par exemple un sceau) que l’on présentait comme un signe de reconnaissance. Les parties brisées étaient mises ensemble pour vérifier l’identité du porteur. Le "" symbole de la foi "" est donc un signe de reconnaissance et de communion entre les croyants. Symbolon signifie ensuite recueil, collection ou sommaire. Le "" symbole de la foi "" est le recueil des principales vérités de la foi. D’où le fait qu’il sert de point de référence premier et fondamental de la catéchèse."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"189 La première "" profession de foi "" se fait lors du Baptême. Le "" symbole de la foi "" est d’abord le symbole baptismal. Puisque le Baptême est donné "" au nom du Père et du Fils et du Saint-Esprit "" (Mt 28, 19), les vérités de foi professées lors du Baptême sont articulées selon leur référence aux trois personnes de la Sainte Trinité."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"190 Le Symbole est donc divisé en trois parties : "" d’abord il est question de la première Personne divine et de l’œuvre admirable de la création ; ensuite, de la seconde Personne divine et du mystère de la Rédemption des hommes ; enfin de la troisième Personne divine, source et principe de notre sanctification "" (Catech. R. 1, 1, 3). Ce sont là "" les trois chapitres de notre sceau (baptismal) "" (S. Irénée, dem. 100)."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"191 "" Ces trois parties sont distinctes quoique liées entre elles. D’après une comparaison souvent employée par les Pères, nous les appelons articles. De même, en effet, que dans nos membres, il y a certaines articulations qui les distinguent et les séparent, de même, dans cette profession de foi, on a donné avec justesse et raison le nom d’articles aux vérités que nous devons croire en particulier et d’une manière distincte "" (Catech. R. 1, 1, 4). Selon une antique tradition, attestée déjà par S. Ambroise, on a aussi coutume de compter douze articles du Credo, symbolisant par le nombre des apôtres l’ensemble de la foi apostolique (cf. symb. 8 : PL 17, 1158D)."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"192 Nombreux ont été, tout au long des siècles, en réponse aux besoins des différentes époques, les professions ou symboles de la foi : les symboles des différentes Églises apostoliques et anciennes (cf. DS 1-64), le Symbole "" Quicumque "", dit de S. Athanase (cf. DS 75-76), les professions de foi de certains Conciles (Tolède : DS 525-541 ; Latran : DS 800-802 ; Lyon : DS 851-861 ; Trente : DS 1862-1870) ou de certains papes, tels la "" Fides Damasi "" (cf. DS 71-72) ou le "" Credo du Peuple de Dieu "" [SPF] de Paul VI (1968)."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,193 Aucun des symboles des différentes étapes de la vie de l’Église ne peut être considéré comme dépassé et inutile. Ils nous aident à atteindre et à approfondir aujourd’hui la foi de toujours à travers les divers résumés qui en ont été faits.
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"194 Le Symbole des apôtres, appelé ainsi parce qu’il est considéré à juste titre comme le résumé fidèle de la foi des apôtres. Il est l’ancien symbole baptismal de l’Église de Rome. Sa grande autorité lui vient de ce fait : "" Il est le symbole que garde l’Église romaine, celle où a siégé Pierre, le premier des apôtres, et où il a apporté la sentence commune "" (S. Ambroise, symb. 7 : PL 17, 1158D)."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"195 Le Symbole dit de Nicée-Constantinople tient sa grande autorité du fait qu’il est issu des deux premiers Conciles œcuméniques (325 et 381). Il demeure commun, aujourd’hui encore, à toutes les grandes Églises de l’Orient et de l’Occident."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"196 Notre exposé de la foi suivra le Symbole des apôtres qui constitue, pour ainsi dire, "" le plus ancien catéchisme romain "". L’exposé sera cependant complété par des références constantes au Symbole de Nicée-Constantinople, souvent plus explicite et plus détaillé."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"197 Comme au jour de notre Baptême, lorsque toute notre vie a été confiée "" à la règle de doctrine "" (Rm 6, 17), accueillons le Symbole de notre foi qui donne la vie. Réciter avec foi le Credo, c’est entrer en communion avec Dieu le Père, le Fils et le Saint-Esprit, c’est entrer aussi en communion avec l’Église toute entière qui nous transmet la foi et au sein de laquelle nous croyons :"
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"Ce Symbole est le sceau spirituel, il est la méditation de notre cœur et la garde toujours présente, il est, à coup sûr, le trésor de notre âme (S. Ambroise, symb. 1 : PL 17, 1155C)."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"Cette synthèse de la foi n’a pas été faite selon les opinions humaines ; mais de toute l’Écriture a été recueilli ce qu’il y a de plus important, pour donner au complet l’unique enseignement de la foi. Et comme la semence de sénevé contient dans une toute petite graine un grand nombre de branches, de même ce résumé de la foi renferme-t-il en quelques paroles toute la connaissance de la vraie piété contenue dans l’Ancien et le Nouveau Testament (S. Cyrille de Jérusalem, catech. ill. 5, 12 : PG 33, 521-524)."
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,DEUXIÈME SECTION
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,LA PROFESSION DE LA FOI CHRETIENNE
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,Les symboles de la foi
Les symboles de la foi,http://www.vatican.va/archive/FRA0013/__P15.HTM,"Parmi tous les symboles de la foi, deux tiennent une place toute particulière dans la vie de l’Église :"
CHAPITRE PREMIER JE CROIS EN DIEU LE PERE,http://www.vatican.va/archive/FRA0013/__P16.HTM,"198 Notre profession de foi commence par Dieu, car Dieu est "" Le premier et Le dernier "" (Is 44, 6), le Commencement et la Fin de tout. Le Credo commence par Dieu le Père, parce que le Père est la Première Personne Divine de la Très Sainte Trinité ; notre Symbole commence par la création du ciel et de la terre, parce que la création est le commencement et le fondement de toutes les œuvres de Dieu ."
CHAPITRE PREMIER JE CROIS EN DIEU LE PERE,http://www.vatican.va/archive/FRA0013/__P16.HTM,CHAPITRE PREMIER
CHAPITRE PREMIER JE CROIS EN DIEU LE PERE,http://www.vatican.va/archive/FRA0013/__P16.HTM,JE CROIS EN DIEU LE PERE
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,""" Dieu de tendresse et de pitié """
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,""" JE CROIS EN DIEU LE PERE TOUT-PUISSANT CREATEUR DU CIEL ET DE LA TERRE """
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,""" Je suis Celui qui suis """
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,(Poes. 9)
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"199 "" Je crois en Dieu "" : cette première affirmation de la profession de foi est aussi la plus fondamentale. Tout le Symbole parle de Dieu, et s’il parle aussi de l’homme et du monde, il le fait par rapport à Dieu. Les articles du Credo dépendent tous du premier, tout comme les commandements explicitent le premier. Les autres articles nous font mieux connaître Dieu tel qu’il s’est révélé progressivement aux hommes. "" Les fidèles font d’abord profession de croire en Dieu "" (Catech. R. 1, 2, 2)."
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"200 C’est avec ces paroles que commence le Symbole de Nicée-Constantinople. La confession de l’Unicité de Dieu, qui a sa racine dans la Révélation Divine dans l’Ancienne Alliance, est inséparable de celle de l’existence de Dieu et tout aussi fondamentale. Dieu est Unique : il n’y a qu’un seul Dieu : "" La foi chrétienne confesse qu’il y a un seul Dieu, par nature, par substance et par essence "" (Catech. R. 1, 2, 8)."
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"201 A Israël, son élu, Dieu S’est révélé comme l’Unique : "" Écoute, Israël ! Le Seigneur notre Dieu est le Seigneur Un. Tu aimeras le Seigneur ton Dieu de tout ton cœur, de tout ton être, de toute ta force "" (Dt 6, 4-5). Par les prophètes, Dieu appelle Israël et toutes les nations à se tourner vers Lui, l’Unique : "" Tournez-vous vers Moi et vous serez sauvés, tous les confins de la terre, car Je suis Dieu, il n’y en a pas d’autre (...). Oui, devant Moi tout genou fléchira, par Moi jurera toute langue en disant : en Dieu seul sont la justice et la force "" (Is 45, 22-24 ; cf. Ph 2, 10-11)."
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"202 Jésus Lui-même confirme que Dieu est "" l’unique Seigneur "" et qu’il faut L’aimer "" de tout son cœur, de toute son âme, de tout son esprit et de toutes ses forces "" (cf. Mc 12, 29-30). Il laisse en même temps entendre qu’Il est Lui-même "" le Seigneur "" (cf. Mc 12, 35-37). Confesser que "" Jésus est Seigneur "" est le propre de la foi chrétienne. Cela n’est pas contraire à la foi en Dieu l’Unique. Croire en l’Esprit Saint "" qui est Seigneur et qui donne la Vie "" n’introduit aucune division dans le Dieu unique :"
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"203 A son peuple Israël Dieu s’est révélé en lui faisant connaître son nom. Le nom exprime l’essence, l’identité de la personne et le sens de sa vie. Dieu a un nom. Il n’est pas une force anonyme. Livrer son nom, c’est se faire connaître aux autres ; c’est en quelque sorte se livrer soi-même en se rendant accessible, capable d’être connu plus intimement et d’être appelé, personnellement."
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"204 Dieu s’est révélé progressivement et sous divers noms à son peuple, mais c’est la révélation du nom divin faite à Moïse dans la théophanie du buisson ardent, au seuil de l’Exode et de l’alliance du Sinaï qui s’est avérée être la révélation fondamentale pour l’Ancienne et la Nouvelle Alliance."
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"205 Dieu appelle Moïse du milieu d’un buisson qui brûle sans se consumer. Dieu dit à Moïse : "" Je suis le Dieu de tes pères, le Dieu d’Abraham, le Dieu d’Isaac et le Dieu de Jacob "" (Ex 3, 6). Dieu est le Dieu des pères, Celui qui avait appelé et guidé les patriarches dans leurs pérégrinations. Il est le Dieu fidèle et compatissant qui se souvient d’eux et de Ses promesses ; Il vient pour libérer leurs descendants de l’esclavage. Il est le Dieu qui par delà l’espace et le temps le peut et le veux et qui mettra Sa Toute Puissance en œuvre pour ce dessein."
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"206 En révélant Son nom mystérieux de YHWH, "" Je Suis Celui qui Est "" ou "" Je Suis Celui qui Suis "" ou aussi "" Je Suis qui Je Suis "", Dieu dit Qui Il est et de quel nom on doit L’appeler. Ce nom Divin est mystérieux comme Dieu est mystère. Il est tout à la fois un nom révélé et comme le refus d’un nom, et c’est par là même qu’il exprime le mieux Dieu comme ce qu’Il est, infiniment au-dessus de tout ce que nous pouvons comprendre ou dire : Il est le "" Dieu caché "" (Is 45, 15), son nom est ineffable (cf. Jg 13, 18), et Il est le Dieu qui Se fait proche des hommes :"
Paragraphe 1. JE CROIS EN DIEU,http://www.vatican.va/archive/FRA0013/__P17.HTM,"207 En révélant son nom, Dieu révèle en même temps sa fidélité qui est de toujours et pour toujours, valable pour le passé ("" Je suis le Dieu de tes pères "", Ex 3, 6), comme pour l’avenir : ("" Je serai avec toi "", Ex 3,12). Dieu qui révèle son nom comme "" Je suis "" se révèle comme le Dieu qui est toujours là, présent auprès de son peuple pour le sauver."
